state,effective_date,company_name,line_of_business,sub_type_of_insurance,overall_indicated_change,overall_rate_impact,written_premium_change,policyholders_affected,written_premium_for_program,maximum_percent_change,minimum_percent_change,rate_activity,serff_tracking_number,disposition_status,filing_date,source_pdf
WA,12/31/2025,Safeco Insurance Company of America,04.0 Homeowners,04.0001 Condominium Homeowners,18.800%,4.900%,563934,11751,11487151,6.800%,0.500%,rate_change,LBPM-134619371,Approved,2025-07-30,output/pdfs/WA/134619371/filing_summary.pdf
WA,02/21/2026,Safeco Insurance Company of America,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,-3.100%,-3.300%,-273240,36921,8303864,0.000%,-37.500%,rate_change,LBPM-134745236,Approved,2025-12-26,output/pdfs/WA/134745236/filing_summary.pdf
WA,12/13/2025,Encompass Indemnity Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.000%,0.000%,0,5324,22469034,0.000%,0.000%,rate_change,GMMX-134659152,Approved,2025-09-03,output/pdfs/WA/134659152/filing_summary.pdf
WA,,Encompass Indemnity Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.000%,0.000%,0,0,22469034,0.000%,0.000%,rate_change,GMMX-134645542,Approved,2025-09-03,output/pdfs/WA/134645542/filing_summary.pdf
CO,04/15/2025,State Farm Fire and Casualty Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.000%,0.000%,0,40568,96780298,23.900%,-24.800%,rate_change,SFMA-134294866,Filed,2025-01-28,output/pdfs/CO/134294866/filing_summary.pdf
CO,04/15/2025,State Farm Mutual Automobile Insurance Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.000%,0.000%,0,1135697,1696535022,35.800%,-30.200%,rate_change,SFMA-134294866,Filed,2025-01-28,output/pdfs/CO/134294866/filing_summary.pdf
CO,07/29/2025,State Farm Fire and Casualty Company,19.0 Personal Auto,19.0002 Motorcycle,2.500%,1.002%,14474,4148,1444547,35.300%,-9.900%,rate_change,SFMA-134532992,Filed,2025-05-20,output/pdfs/CO/134532992/filing_summary.pdf
CO,07/29/2025,State Farm Mutual Automobile Insurance Company,19.0 Personal Auto,19.0002 Motorcycle,2.500%,-0.005%,-420,47994,7960381,35.300%,-13.000%,rate_change,SFMA-134532992,Filed,2025-05-20,output/pdfs/CO/134532992/filing_summary.pdf
CO,12/15/2025,State Farm Fire and Casualty Company,19.0 Personal Auto,19.0002 Motorcycle,2.500%,0.005%,84,4641,1731791,1.400%,0.000%,rate_change,SFMA-134702979,Filed,2025-10-24,output/pdfs/CO/134702979/filing_summary.pdf
CO,12/15/2025,State Farm Mutual Automobile Insurance Company,19.0 Personal Auto,19.0002 Motorcycle,2.500%,0.003%,210,48758,8319393,0.100%,0.000%,rate_change,SFMA-134702979,Filed,2025-10-24,output/pdfs/CO/134702979/filing_summary.pdf
CO,07/29/2025,State Farm Fire and Casualty Company,19.0 Personal Auto,19.0003 Recreational Vehicle (RV),15.700%,18.600%,77260,622,415386,75.000%,0.000%,rate_change,SFMA-134532940,Filed,2025-05-20,output/pdfs/CO/134532940/filing_summary.pdf
CO,07/29/2025,State Farm Mutual Automobile Insurance Company,19.0 Personal Auto,19.0003 Recreational Vehicle (RV),15.700%,13.304%,4059986,82769,30516879,70.800%,-19.400%,rate_change,SFMA-134532940,Filed,2025-05-20,output/pdfs/CO/134532940/filing_summary.pdf
CO,12/15/2025,State Farm Fire and Casualty Company,19.0 Personal Auto,19.0003 Recreational Vehicle (RV),15.700%,0.001%,4,714,547530,1.900%,-1.400%,rate_change,SFMA-134702973,Filed,2025-10-24,output/pdfs/CO/134702973/filing_summary.pdf
CO,12/15/2025,State Farm Mutual Automobile Insurance Company,19.0 Personal Auto,19.0003 Recreational Vehicle (RV),15.700%,0.000%,0,84036,35371108,0.100%,-1.400%,rate_change,SFMA-134702973,Filed,2025-10-24,output/pdfs/CO/134702973/filing_summary.pdf
CO,07/29/2025,State Farm Fire and Casualty Company,19.0 Personal Auto,19.0000 Personal Auto Combinations,13.600%,-3.050%,-2489382,35300,81620214,36.200%,-28.600%,rate_change,SFMA-134532998,Filed,2025-05-20,output/pdfs/CO/134532998/filing_summary.pdf
CO,07/29/2025,State Farm Mutual Automobile Insurance Company,19.0 Personal Auto,19.0000 Personal Auto Combinations,0.000%,-4.045%,-69278198,1152647,1712624141,24.700%,-43.600%,rate_change,SFMA-134532998,Filed,2025-05-20,output/pdfs/CO/134532998/filing_summary.pdf
CO,12/15/2025,State Farm Fire and Casualty Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),9.200%,-8.959%,-5629719,29073,62836805,1.900%,-15.900%,rate_change,SFMA-134702926,Filed,2025-10-24,output/pdfs/CO/134702926/filing_summary.pdf
CO,12/15/2025,State Farm Mutual Automobile Insurance Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.300%,-7.822%,-130056850,1174505,1662621165,1.100%,-12.200%,rate_change,SFMA-134702926,Filed,2025-10-24,output/pdfs/CO/134702926/filing_summary.pdf
CO,03/15/2025,State Farm Fire and Casualty Company,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,,0.000%,0,545361,1079084772,0.000%,0.000%,rate_change,SFMA-134393639,Filed,2025-02-07,output/pdfs/CO/134393639/filing_summary.pdf
CO,07/01/2025,State Farm Fire and Casualty Company,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,23.200%,16.400%,177509947,545361,1079084772,50.400%,-10.800%,rate_change,SFMA-134522369,Filed,2025-05-09,output/pdfs/CO/134522369/filing_summary.pdf
CO,09/15/2025,State Farm Fire and Casualty Company,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,,0.000%,0,545361,1256594719,0.000%,0.000%,rate_change,SFMA-134604280,Filed,2025-08-12,output/pdfs/CO/134604280/filing_summary.pdf
CO,05/15/2025,State Farm Fire and Casualty Company,04.0 Homeowners,04.0002 Mobile Homeowners,10.300%,10.000%,453710,5717,4557304,11.200%,0.000%,rate_change,SFMA-134452674,Filed,2025-03-18,output/pdfs/CO/134452674/filing_summary.pdf
CO,10/15/2025,State Farm Fire and Casualty Company,04.0 Homeowners,04.0005 Other Homeowners,11.000%,9.800%,11393108,60097,116259930,38.000%,-8.300%,rate_change,SFMA-134620253,Filed,2025-07-31,output/pdfs/CO/134620253/filing_summary.pdf
CO,10/15/2025,State Farm Fire and Casualty Company,04.0 Homeowners,04.0005 Other Homeowners,25.800%,12.600%,2433030,25748,19304787,14.900%,2.800%,rate_change,SFMA-134620275,Filed,2025-07-31,output/pdfs/CO/134620275/filing_summary.pdf
